Ereco vs. Etrue
4 58 0
4 59 0
5 0 0
5 1 0
5 2 0
5 3 16.5722
5 4 77.5234
5 5 43.9174
5 6 11.6116
5 7 2.27789
5 8 2.67838
5 9 0
5 10 0
5 11 0
5 12 0
5 13 0
5 14 0
5 15 0
5 16 0
5 17 0
5 18 0
5 19 0
5 20 0
5 21 0
5 22 0
5 23 0
5 24 0
5 25 0
5 26 0
5 27 0
5 28 0
5 29 0
5 30 0
5 31 0
5 32 0
5 33 0
5 34 0
5 35 0
5 36 0
5 37 0
5 38 0
5 39 0
5 40 0
5 41 0
5 42 0
5 43 0
5 44 0
5 45 0
5 46 0
5 47 0
5 48 0
5 49 0
5 50 0
5 51 0
5 52 0
5 53 0
5 54 0
5 55 0
5 56 0
5 57 0
5 58 0
5 59 0
6 0 0
6 1 0
6 2 0
6 3 5.53559
6 4 65.3365
6 5 120.432
6 6 112.331
6 7 29.5355
6 8 7.18221
6 9 6.12862
6 10 1.79488
6 11 0.00013542
6 12 0
6 13 0
6 14 0
6 15 0
6 16 0
6 17 0
6 18 0
6 19 0
6 20 0
6 21 0
6 22 0
6 23 0
6 24 0
6 25 0
6 26 0
6 27 0
6 28 0
6 29 0
6 30 0
6 31 0
6 32 0
6 33 0
6 34 0
6 35 0
6 36 0
6 37 0
6 38 0
6 39 0
6 40 0
6 41 0
6 42 0
6 43 0
6 44 0
6 45 0
6 46 0
6 47 0
6 48 0
6 49 0
6 50 0
6 51 0
6 52 0
6 53 0
6 54 0
6 55 0
6 56 0
6 57 0
6 58 0
6 59 0
7 0 0
7 1 0
7 2 0
7 3 1.56918
7 4 21.2001
7 5 112.297
7 6 214.525
7 7 171.995
7 8 55.9117
7 9 20.9163
7 10 9.91664
7 11 6.6729
7 12 1.87951
7 13 0
7 14 0
7 15 0
7 16 0
7 17 0
7 18 1.77497
7 19 0
7 20 0
7 21 0
7 22 0
7 23 0
7 24 0
7 25 0
7 26 0
7 27 0
7 28 0
7 29 0
7 30 0
7 31 0
7 32 0
7 33 0
7 34 0
7 35 0
7 36 0
7 37 0
7 38 0
7 39 0
7 40 0
7 41 0
7 42 0
7 43 0
7 44 0
7 45 0
7 46 0
7 47 0
7 48 0
7 49 0
7 50 0
7 51 0
7 52 0
7 53 0
7 54 0
7 55 0
7 56 0
7 57 0
7 58 0
7 59 0
8 0 0
8 1 0
8 2 0
8 3 0
8 4 37.7409
8 5 68.8168
8 6 152.282
8 7 275.682
8 8 271.675
8 9 87.5392
8 10 41.8749
8 11 21.7783
8 12 5.84098
8 13 3.04705
8 14 2.26506
8 15 0
8 16 0
8 17 0
8 18 0
8 19 1.61174
8 20 0
8 21 0
8 22 0
8 23 0
8 24 0
8 25 0
8 26 0
8 27 0
8 28 0
8 29 0
8 30 0
8 31 0
8 32 0
8 33 0
8 34 0
8 35 0
8 36 0
8 37 0
8 38 0
8 39 0
8 40 0
8 41 0
8 42 0
8 43 0
8 44 0
8 45 0
8 46 0
8 47 0
8 48 0
8 49 0
8 50 0
8 51 0
8 52 0
8 53 0
8 54 0
8 55 0
8 56 0
8 57 0
8 58 0
8 59 0
9 0 0
9 1 0
9 2 0
9 3 0
9 4 18.2098
9 5 40.9944
9 6 101.862
9 7 280.749
9 8 380.342
9 9 355.05
9 10 144.323
9 11 49.9869
9 12 16.027
9 13 12.0599
9 14 11.3003
9 15 4.34476
9 16 1.47968
9 17 1.45201
9 18 0
9 19 2.15043
9 20 0
9 21 0
9 22 0
9 23 0
9 24 0
9 25 1.27736
9 26 0
9 27 0
9 28 0
9 29 0
9 30 0
9 31 0
9 32 0
9 33 0
9 34 0
9 35 0
9 36 0
9 37 0
9 38 0
9 39 0
9 40 0
9 41 0
9 42 0
9 43 0
9 44 0
9 45 0
9 46 0
9 47 0
9 48 0
9 49 0
9 50 0
9 51 0
9 52 0
9 53 0
9 54 0
9 55 0
9 56 0
9 57 0
9 58 0
9 59 0
10 0 0
10 1 0
10 2 0
10 3 0
10 4 7.12852
10 5 46.8837
10 6 56.039
10 7 152.32
10 8 308.097
10 9 352.861
10 10 361.536
10 11 174.058
10 12 68.4608
10 13 34.7752
10 14 23.9471
10 15 13.8156
10 16 4.1736
10 17 1.39446
10 18 1.28565
10 19 1.39857
10 20 0
10 21 2.72935
10 22 0
10 23 0
10 24 0
10 25 0
10 26 1.4139
10 27 0
10 28 0
10 29 0
10 30 0
10 31 0
10 32 0
10 33 0
10 34 0
10 35 0
10 36 0
10 37 0
10 38 0
10 39 0
10 40 0
10 41 0
10 42 0
10 43 0
10 44 0
10 45 0
10 46 0
10 47 0
10 48 0
10 49 0
10 50 0
10 51 0
10 52 0
10 53 0
10 54 0
10 55 0
10 56 0
10 57 0
10 58 0
10 59 0
11 0 0
11 1 0
11 2 0
11 3 1.31544
11 4 1.35523
11 5 25.3849
11 6 48.4808
11 7 126.525
11 8 157.551
11 9 362.199
11 10 529.369
11 11 498.596
11 12 239.124
11 13 96.65
11 14 43.8644
11 15 27.745
11 16 10.1896
11 17 5.47746
11 18 3.98663
11 19 1.32331
11 20 1.35404
11 21 0.867813
11 22 1.26607
11 23 1.31007
11 24 0
11 25 1.38035
11 26 1
11 27 0
11 28 0
11 29 0
11 30 0
11 31 0
11 32 0
11 33 0
11 34 0
11 35 0
11 36 0
11 37 0
11 38 0
11 39 0
11 40 0
11 41 0
11 42 0
11 43 0
11 44 0
11 45 0
11 46 0
11 47 0
11 48 0
11 49 0
11 50 0
11 51 0
11 52 0
11 53 0
11 54 0
11 55 0
11 56 0
11 57 0
11 58 0
11 59 0
12 0 0
12 1 0
12 2 0
12 3 0
12 4 6.95393
12 5 16.005
12 6 58.9673
12 7 70.1176
12 8 172.193
12 9 276.644
12 10 448.085
12 11 571.708
12 12 533.142
12 13 284.031
12 14 133.622
12 15 50.3647
12 16 19.8596
12 17 17.3837
12 18 9.21134
12 19 5.18754
12 20 2.38952
12 21 1.32448
12 22 8.89737
12 23 2.45575
12 24 2.31472
12 25 1.25228
12 26 1.28185
12 27 0
12 28 1.33038
12 29 0
12 30 0
12 31 0
12 32 0
12 33 0
12 34 1.30711
12 35 0
12 36 0
12 37 0
12 38 0
12 39 0
12 40 0
12 41 0
12 42 0
12 43 0
12 44 0
12 45 0
12 46 0
12 47 0
12 48 0
12 49 0
12 50 0
12 51 0
12 52 0
12 53 0
12 54 0
12 55 0
12 56 0
12 57 0
12 58 0
12 59 0
13 0 0
13 1 0
13 2 0
13 3 0
13 4 4.55877
13 5 13.8521
13 6 24.064
13 7 82.9182
13 8 133.823
13 9 216.759
13 10 309.045
13 11 496.156
13 12 661.665
13 13 602.512
13 14 358.847
13 15 166.726
13 16 69.3065
13 17 39.6642
13 18 38.3263
13 19 16.4198
13 20 11.0495
13 21 7.39063
13 22 7.38208
13 23 3.68627
13 24 2.9179
13 25 1
13 26 1.0006
13 27 0
13 28 1.30924
13 29 0
13 30 0
13 31 0
13 32 0
13 33 0
13 34 0
13 35 0
13 36 0
13 37 0
13 38 0
13 39 0
13 40 0
13 41 0
13 42 0
13 43 0
13 44 0
13 45 0
13 46 0
13 47 0
13 48 0
13 49 0
13 50 0
13 51 0
13 52 0
13 53 0
13 54 0
13 55 0
13 56 0
13 57 0
13 58 0
13 59 0
14 0 0
14 1 0
14 2 0
14 3 0
14 4 0.122979
14 5 16.421
14 6 21.2607
14 7 36.911
14 8 93.3161
14 9 155.209
14 10 276.051
14 11 381.154
14 12 527.199
14 13 601.826
14 14 590.135
14 15 347.929
14 16 163.438
14 17 106.021
14 18 77.3516
14 19 28.9208
14 20 17.2288
14 21 9.25227
14 22 7.91311
14 23 3.89687
14 24 5.46325
14 25 3.05188
14 26 2.25671
14 27 1.70551
14 28 2.41519
14 29 0
14 30 1.53837
14 31 0
14 32 2.20226
14 33 2.54875
14 34 1.2614
14 35 0
14 36 0
14 37 0
14 38 1.2463
14 39 0
14 40 0
14 41 0
14 42 0
14 43 0
14 44 0
14 45 1.24803
14 46 0
14 47 0
14 48 0
14 49 0
14 50 0
14 51 0
14 52 0
14 53 0
14 54 0
14 55 0
14 56 0
14 57 0
14 58 0
14 59 0
15 0 0
15 1 0
15 2 0
15 3 0
15 4 1.27991
15 5 2.22608
15 6 18.9873
15 7 23.4768
15 8 55.0042
15 9 122.183
15 10 195.226
15 11 266.854
15 12 379.102
15 13 530.189
15 14 584.465
15 15 516.153
15 16 328.524
15 17 171.614
15 18 85.4926
15 19 33.997
15 20 27.0264
15 21 22.1184
15 22 7.83591
15 23 8.02484
15 24 6.534
15 25 4.00864
15 26 2.19555
15 27 1.17118
15 28 0.0067837
15 29 0.760113
15 30 2.32411
15 31 1.02542
15 32 1
15 33 2.5249
15 34 0
15 35 0.000221829
15 36 0
15 37 0
15 38 0
15 39 0
15 40 0
15 41 7.4855
15 42 0
15 43 0
15 44 0
15 45 1.81561
15 46 0
15 47 0
15 48 0
15 49 0
15 50 0
15 51 0
15 52 0
15 53 0
15 54 0
15 55 0
15 56 0
15 57 0
15 58 0
15 59 0
16 0 0
16 1 0
16 2 0
16 3 0
16 4 0
16 5 11.4599
16 6 12.9433
16 7 16.1656
16 8 49.2544
16 9 97.1052
16 10 125.623
16 11 220.974
16 12 332.272
16 13 388.603
16 14 554.175
16 15 663.716
16 16 478.808
16 17 389.42
16 18 135.543
16 19 105.551
16 20 66.6556
16 21 32.043
16 22 19.3168
16 23 15.0876
16 24 7.77975
16 25 4.77321
16 26 12.1572
16 27 3.1001
16 28 1.22082
16 29 3.60882
16 30 1.19403
16 31 2.42324
16 32 1.16356
16 33 1.26035
16 34 0
16 35 0
16 36 0
16 37 1.17263
16 38 1.22016
16 39 0
16 40 0
16 41 0
16 42 0
16 43 0
16 44 0
16 45 0
16 46 0
16 47 0
16 48 0
16 49 0
16 50 0
16 51 0
16 52 0
16 53 0
16 54 0
16 55 0
16 56 0
16 57 0
16 58 0
16 59 0
17 0 0
17 1 0
17 2 0
17 3 0
17 4 0
17 5 2
17 6 2.40841
17 7 11.6546
17 8 33.0557
17 9 60.7595
17 10 88.0884
17 11 136.963
17 12 233.9
17 13 299.227
17 14 455.615
17 15 561.559
17 16 591.772
17 17 464.233
17 18 342.739
17 19 174.853
17 20 86.2998
17 21 49.2246
17 22 28.2425
17 23 15.6182
17 24 8.03763
17 25 9.13072
17 26 8.86548
17 27 7.99606
17 28 4.81901
17 29 5.62653
17 30 0
17 31 3.43268
17 32 0
17 33 0
17 34 1.09293
17 35 2.19477
17 36 5.97435
17 37 0
17 38 0
17 39 0
17 40 0
17 41 0
17 42 0
17 43 0
17 44 0
17 45 0
17 46 0
17 47 0
17 48 0
17 49 0
17 50 0
17 51 0
17 52 0
17 53 0
17 54 0
17 55 0
17 56 0
17 57 0
17 58 0
17 59 0
18 0 0
18 1 0
18 2 0
18 3 0
18 4 4.81202
18 5 0
18 6 5.62238
18 7 5.16416
18 8 16.4988
18 9 37.12
18 10 65.1583
18 11 98.2811
18 12 194.231
18 13 242.023
18 14 312.903
18 15 464.724
18 16 529.047
18 17 548.399
18 18 497.276
18 19 353.139
18 20 163.694
18 21 110.32
18 22 72.3529
18 23 31.8651
18 24 19.1905
18 25 18.6711
18 26 13.6006
18 27 3.1657
18 28 7.38223
18 29 4.28324
18 30 4.25203
18 31 1.34594
18 32 1
18 33 2.16085
18 34 0
18 35 0
18 36 1.13277
18 37 0
18 38 1.1296
18 39 0
18 40 0
18 41 0
18 42 0
18 43 0.000106204
18 44 0
18 45 0
18 46 0
18 47 0
18 48 0
18 49 0
18 50 0
18 51 0
18 52 0
18 53 0
18 54 0
18 55 0
18 56 0
18 57 0
18 58 0
18 59 0
19 0 0
19 1 0
19 2 0
19 3 0
19 4 0
19 5 2
19 6 13.1136
19 7 1
19 8 17.6103
19 9 27.8453
19 10 45.8546
19 11 83.4517
19 12 131.021
19 13 170.263
19 14 283.778
19 15 325.233
19 16 414.832
19 17 512.963
19 18 554.66
19 19 458.97
19 20 329.02
19 21 204.007
19 22 107.153
19 23 59.4392
19 24 34.5805
19 25 10.5629
19 26 7.82921
19 27 7.63845
19 28 7.72317
19 29 9.09664
19 30 1.25734
19 31 8.10886
19 32 3.16065
19 33 3.30782
19 34 0.368439
19 35 3.20598
19 36 1.18782
19 37 2.28618
19 38 0
19 39 0
19 40 1.19406
19 41 1
19 42 0
19 43 0
19 44 0
19 45 0
19 46 0
19 47 0
19 48 0
19 49 0
19 50 0
19 51 0
19 52 1.41339
19 53 0
19 54 0
19 55 0
19 56 0
19 57 0
19 58 0
19 59 0
20 0 0
20 1 0
20 2 0
20 3 0
20 4 0
20 5 0
20 6 3.48888
20 7 5.46109
20 8 11.2136
20 9 13.4012
20 10 35.0793
20 11 55.9301
20 12 108.215
20 13 135.734
20 14 201.793
20 15 265.435
20 16 340.582
20 17 482.09
20 18 518.534
20 19 476.647
20 20 496.54
20 21 334.178
20 22 199.278
20 23 82.0626
20 24 69.5214
20 25 44.6979
20 26 17.2297
20 27 16.738
20 28 13.7824
20 29 7.73038
20 30 5.46346
20 31 4.45356
20 32 7.85692
20 33 3.46164
20 34 1.05147
20 35 1.0644
20 36 0
20 37 0.0989846
20 38 1.17501
20 39 0
20 40 2.1472
20 41 1
20 42 0
20 43 0
20 44 0
20 45 0
20 46 0
20 47 0
20 48 0
20 49 1.06466
20 50 0
20 51 1.20683
20 52 1
20 53 0
20 54 0
20 55 0
20 56 0
20 57 0
20 58 0
20 59 0
21 0 0
21 1 0
21 2 0
21 3 0
21 4 0
21 5 2
21 6 3.0013
21 7 4.75746
21 8 4.34059
21 9 12.4499
21 10 24.829
21 11 27.2305
21 12 58.3079
21 13 101.73
21 14 146.288
21 15 182.243
21 16 271.65
21 17 349.638
21 18 414.041
21 19 499.104
21 20 501.331
21 21 408.607
21 22 299.454
21 23 198.229
21 24 99.2357
21 25 68.0154
21 26 53.6538
21 27 15.624
21 28 18.382
21 29 20.4148
21 30 7.79495
21 31 5.5606
21 32 3.4578
21 33 5.02511
21 34 1.1619
21 35 3.96996
21 36 1.2293
21 37 3.23738
21 38 1.32403
21 39 0
21 40 1.10424
21 41 0
21 42 0
21 43 0
21 44 0
21 45 0
21 46 0
21 47 0
21 48 1.1305
21 49 0
21 50 1.15257
21 51 0
21 52 0
21 53 0
21 54 0
21 55 0
21 56 0
21 57 0
21 58 0
21 59 0
22 0 0
22 1 0
22 2 0
22 3 0
22 4 0
22 5 1.17623
22 6 0
22 7 3.45306
22 8 10.873
22 9 19.2677
22 10 12.984
22 11 33.1627
22 12 35.6621
22 13 77.967
22 14 127.42
22 15 143.353
22 16 196.586
22 17 255.237
22 18 348.916
22 19 484.873
22 20 474.302
22 21 474.425
22 22 460.71
22 23 320.839
22 24 168.903
22 25 106.359
22 26 68.8047
22 27 43.0365
22 28 24.2457
22 29 24.1186
22 30 12.5245
22 31 17.8462
22 32 12.4651
22 33 3.16846
22 34 2.38065
22 35 11.3396
22 36 5.10859
22 37 5.59597
22 38 1
22 39 4.00439
22 40 0.388826
22 41 1.24031
22 42 0
22 43 1
22 44 0
22 45 0
22 46 0
22 47 1
22 48 0
22 49 0
22 50 0
22 51 0
22 52 0
22 53 0
22 54 0
22 55 0
22 56 0
22 57 1
22 58 0
22 59 0
23 0 0
23 1 0
23 2 0
23 3 0
23 4 0
23 5 0
23 6 1
23 7 1
23 8 2.17495
23 9 17.6238
23 10 14.7708
23 11 18.998
23 12 31.3399
23 13 62.9874
23 14 67.3694
23 15 126.569
23 16 163.055
23 17 228.458
23 18 298.363
23 19 433.931
23 20 468.933
23 21 502.829
23 22 532.283
23 23 388.602
23 24 324.121
23 25 151.631
23 26 127.111
23 27 63.4684
23 28 46.5132
23 29 35.0432
23 30 23.8908
23 31 10.9161
23 32 12.5705
23 33 7.31231
23 34 20.6487
23 35 4.2101
23 36 6.22598
23 37 1
23 38 1
23 39 4.65228
23 40 2.12293
23 41 0
23 42 4.08459
23 43 0.0103945
23 44 0
23 45 0
23 46 1
23 47 0
23 48 0
23 49 0
23 50 0
23 51 0
23 52 0
23 53 0
23 54 0
23 55 0
23 56 0
23 57 0
23 58 0
23 59 0
24 0 0
24 1 0
24 2 0
24 3 0
24 4 0
24 5 1
24 6 2
24 7 2
24 8 1
24 9 9.7695
24 10 12.6261
24 11 10.7874
24 12 26.8902
24 13 39.8512
24 14 65.9669
24 15 77.455
24 16 156.387
24 17 176.334
24 18 182.618
24 19 226.154
24 20 371.617
24 21 455.635
24 22 510.182
24 23 419.997
24 24 401.42
24 25 278.861
24 26 233.293
24 27 101.81
24 28 80.9891
24 29 38.548
24 30 28.8365
24 31 23.9022
24 32 13.3049
24 33 8.6119
24 34 2.09311
24 35 13.1324
24 36 5.31386
24 37 2.23173
24 38 1
24 39 3.24427
24 40 0
24 41 0
24 42 0.0309999
24 43 0
24 44 0
24 45 0
24 46 0
24 47 0
24 48 0
24 49 0
24 50 0
24 51 0
24 52 0
24 53 0
24 54 0
24 55 1.11838
24 56 0
24 57 0
24 58 0
24 59 0
25 0 0
25 1 0
25 2 0
25 3 0
25 4 0
25 5 1
25 6 3
25 7 0
25 8 4
25 9 9.9035
25 10 2.97378
25 11 5.25284
25 12 26.561
25 13 28.8362
25 14 47.0923
25 15 81.2356
25 16 128.292
25 17 139.064
25 18 170.014
25 19 230.391
25 20 327.724
25 21 318.187
25 22 376.708
25 23 452.488
25 24 405.975
25 25 306.334
25 26 248.361
25 27 180.852
25 28 77.4818
25 29 57.6964
25 30 25.4181
25 31 25.9686
25 32 18.5212
25 33 6.16861
25 34 10.9002
25 35 6.55966
25 36 4.3188
25 37 3.49135
25 38 2.23948e-13
25 39 3.14304
25 40 1
25 41 1.19242
25 42 0
25 43 0
25 44 2.18034
25 45 0
25 46 0
25 47 0
25 48 1
25 49 1
25 50 0
25 51 0
25 52 0
25 53 0
25 54 0
25 55 0
25 56 0
25 57 0
25 58 0
25 59 0
26 0 0
26 1 0
26 2 0
26 3 0
26 4 0
26 5 0
26 6 1
26 7 2.15116
26 8 5.14985
26 9 2.23909
26 10 5
26 11 4.20525
26 12 10.4727
26 13 48.7858
26 14 23.8445
26 15 50.5674
26 16 56.9581
26 17 96.9887
26 18 142.382
26 19 166
26 20 210.081
26 21 295.16
26 22 340.629
26 23 332.026
26 24 404.195
26 25 399.375
26 26 357.713
26 27 259.549
26 28 195.246
26 29 115.689
26 30 73.6583
26 31 65.2608
26 32 16.8968
26 33 11.5693
26 34 8.49454
26 35 20.4917
26 36 7.19178
26 37 6.51061
26 38 9.54733
26 39 6.82369
26 40 9.36331
26 41 4.43544
26 42 2.32715
26 43 8.2158
26 44 4.30431
26 45 1.14257
26 46 0
26 47 0
26 48 1.13593
26 49 0
26 50 0
26 51 0
26 52 0
26 53 0
26 54 0
26 55 0
26 56 0
26 57 0
26 58 0
26 59 0
27 0 0
27 1 0
27 2 0
27 3 0
27 4 0
27 5 0
27 6 2.14633
27 7 0
27 8 1
27 9 4
27 10 7.36344
27 11 10.2417
27 12 4.25495
27 13 16.8198
27 14 30.8795
27 15 39.3072
27 16 54.8741
27 17 83.4966
27 18 112.985
27 19 100.916
27 20 206.018
27 21 249.048
27 22 277.194
27 23 299.174
27 24 386.646
27 25 347.719
27 26 412.521
27 27 272.791
27 28 309.741
27 29 172.685
27 30 143.952
27 31 67.499
27 32 60.5567
27 33 29.6557
27 34 12.6846
27 35 12.9224
27 36 11.2407
27 37 4.29253
27 38 18.4887
27 39 6.5919
27 40 3.12434
27 41 4.27539
27 42 8.80031
27 43 1
27 44 1.22762
27 45 2.12684
27 46 3.35282
27 47 1.06407
27 48 0
27 49 0
27 50 0
27 51 1.12013
27 52 0
27 53 0
27 54 8.62112
27 55 0
27 56 0
27 57 1
27 58 0
27 59 0
28 0 0
28 1 0
28 2 0
28 3 0
28 4 0
28 5 1
28 6 3
28 7 2
28 8 1.38274
28 9 7
28 10 3.26517
28 11 3.1674
28 12 9.08811
28 13 10.631
28 14 21.9285
28 15 33.8884
28 16 48.6951
28 17 71.9726
28 18 71.7539
28 19 89.5818
28 20 133.132
28 21 220.025
28 22 190.297
28 23 237.471
28 24 283.817
28 25 344.651
28 26 365.332
28 27 351.204
28 28 305.879
28 29 215.559
28 30 138.942
28 31 124.827
28 32 73.8977
28 33 35.0991
28 34 35.9618
28 35 30.2361
28 36 20.2434
28 37 10.7749
28 38 14.1251
28 39 3.99274
28 40 11.5447
28 41 15.6003
28 42 5.34167
28 43 1.6398
28 44 0
28 45 3.17722
28 46 0
28 47 0
28 48 0
28 49 0
28 50 0
28 51 0
28 52 0
28 53 2.04318
28 54 0
28 55 0
28 56 0
28 57 0
28 58 0
28 59 0
29 0 0
29 1 0
29 2 0
29 3 0
29 4 0
29 5 2
29 6 0
29 7 2
29 8 4
29 9 5
29 10 5.0281
29 11 7.26306
29 12 10.2954
29 13 8
29 14 15.083
29 15 25.9428
29 16 34.3556
29 17 37.3591
29 18 56.8497
29 19 84.3586
29 20 93.771
29 21 157.258
29 22 199.448
29 23 200.559
29 24 246.016
29 25 343.123
29 26 380.197
29 27 273.407
29 28 311.515
29 29 249.452
29 30 230.834
29 31 135.497
29 32 106.224
29 33 66.7989
29 34 43.4365
29 35 31.338
29 36 21.9944
29 37 19.0796
29 38 9.5165
29 39 11.6723
29 40 3.0252
29 41 2.18729
29 42 1
29 43 7.8587
29 44 1
29 45 2.31237
29 46 2.14708
29 47 3.41385
29 48 1.58598
29 49 2.2772
29 50 0.0406922
29 51 1
29 52 0
29 53 1
29 54 0.919647
29 55 0
29 56 0
29 57 0
29 58 0
29 59 0
30 0 0
30 1 0
30 2 0
30 3 0
30 4 1
30 5 4
30 6 1
30 7 1
30 8 4
30 9 4.37705
30 10 2
30 11 5
30 12 6.38774
30 13 6.14672
30 14 8.53452
30 15 14.1337
30 16 20.8629
30 17 38.3996
30 18 40.9578
30 19 45.0444
30 20 79.4978
30 21 93.1188
30 22 139.295
30 23 140.123
30 24 232.481
30 25 244.878
30 26 251.825
30 27 305.752
30 28 291.427
30 29 240.142
30 30 263.129
30 31 202.969
30 32 140.225
30 33 99.473
30 34 67.8833
30 35 33.6869
30 36 29.5555
30 37 25.2292
30 38 26.5609
30 39 6.61195
30 40 9.2695
30 41 8.74503
30 42 4
30 43 2.88433
30 44 3.13124
30 45 4.24904
30 46 0
30 47 0
30 48 1
30 49 0
30 50 2
30 51 0
30 52 0
30 53 1.06599
30 54 0
30 55 0
30 56 0
30 57 0
30 58 0
30 59 0
31 0 0
31 1 0
31 2 0
31 3 0
31 4 1
31 5 0
31 6 3
31 7 1.14869
31 8 2
31 9 5
31 10 5.23892
31 11 3.28194
31 12 4.16979
31 13 7.45064
31 14 10.6769
31 15 10.5044
31 16 18.4064
31 17 26.3053
31 18 39.817
31 19 42.4377
31 20 64.8447
31 21 96.8582
31 22 120.399
31 23 138.851
31 24 156.381
31 25 192.037
31 26 233.14
31 27 241.283
31 28 318.335
31 29 309.44
31 30 248.736
31 31 235.849
31 32 214.92
31 33 151.869
31 34 89.7062
31 35 63.7191
31 36 33.9148
31 37 19.6508
31 38 11.4896
31 39 16.7425
31 40 13.96
31 41 4.35762
31 42 3.12048
31 43 5.56302
31 44 4.41444
31 45 2.16129
31 46 3.32227
31 47 2.21006
31 48 0
31 49 1
31 50 1.10165
31 51 0
31 52 0
31 53 1
31 54 1.10844
31 55 0
31 56 0
31 57 0
31 58 0
31 59 0
32 0 0
32 1 0
32 2 0
32 3 0
32 4 0
32 5 0
32 6 4
32 7 3.09682
32 8 0
32 9 2.23551
32 10 9.33791
32 11 5
32 12 6.49777
32 13 5.08592
32 14 11.2491
32 15 14.6486
32 16 14.9664
32 17 21.3633
32 18 26.5422
32 19 28.1681
32 20 43.4952
32 21 58.3761
32 22 90.3133
32 23 92.8393
32 24 161.024
32 25 143.328
32 26 209.945
32 27 205.648
32 28 230.984
32 29 276.735
32 30 312.964
32 31 286.289
32 32 241.318
32 33 213.386
32 34 122.37
32 35 77.6634
32 36 74.5068
32 37 51.5002
32 38 45.7157
32 39 19.3962
32 40 16.8787
32 41 7.31818
32 42 6.25579
